btr_id,name,exchange,ticker,country
10831,PNC Financial Services,NYSE,PNC,US
10841,Poly Real Estate,SSE,600048,CN
10851,Pool Corporation,NASDAQ,POOL,US
10861,Poongsan,KRX,103140,KR
10871,Porsche Pref,FWB,P911,DE
10881,POSCO,KRX,005490,KR
10891,POSCO DX,KRX,022100,KR
10901,POSCO Future M,KRX,003670,KR
10911,POSCO International,KRX,047050,KR
10921,Power Assets Holdings,HKEX,0006,HK
10931,Power Construction Corporation of China,SSE,601669,CN
10941,Power Corp of Canada,TSX,POW,CA
10951,PPG Industries,NYSE,PPG,US
10961,PPL Corporation,NYSE,PPL,US
10971,Principal Financial,NASDAQ,PFG,US
10981,Procter & Gamble,NYSE,PG,US
10991,Progressive Corporation,NYSE,PGR,US
11001,Prologis,NYSE,PLD,US
11011,Prosiebensat.1 Media,FWB,PSM,DE
11021,Prosus N.V.,AMS,PRX,NL
11031,Provident Financial,LSE,PFG,GB
11041,Prudential,LSE,PRU,GB
11051,Prudential Financial,NYSE,PRU,US
11061,Prysmian,BIT,PRY,IT
11071,PTC Group,NSE,PTC,IN
11081,Public Service Enterprise,NYSE,PEG,US
11091,Public Storage,NYSE,PSA,US
11101,Publicis,EURONEXT,PUB,FR
11111,PulteGroup,NYSE,PHM,US
11121,Pure Storage,NYSE,PSTG,US
11131,QBE Insurance,ASX,QBE,AU
11141,Qualcomm,NASDAQ,QCOM,US
11151,Quanta Services,NYSE,PWR,US
11161,Quest Diagnostics,NYSE,DGX,US
11171,Rakuten,TSE,4755,JP
11181,Ralph Lauren Corporation,NYSE,RL,US
11191,Randgold Resources,LSE,RRS,GB
11201,Randstad,AMS,RAND,NL
11211,Raymond James Financial,NYSE,RJF,US
11221,RB Global,NYSE,RBA,US
11231,Realty Income,NYSE,O,US
11241,Reckitt Benckiser,LSE, RKT,GB
11251,Recruit Holdings,TSE,6098,JP
11261,Red Electrica Corporation,BME,REE,ES
11271,Reed Elsevier,LSE,REL,GB
11281,Regency Centers,NASDAQ,REG,US
11291,Regeneron Pharmaceuticals,NASDAQ,REGN,US
11301,Regions Financial,NYSE,RF,US
11311,Reliance,NSE,RELIANCE,IN
11321,RELX Group,LSE,REL,GB
11331,Renault,EURONEXT,RNO,FR
11341,Renesas Electronics,TSE,6723,JP
11351,Repsol,BME,REP,ES
11361,Republic Services,NYSE,RSG,US
11371,ResMed,NYSE,RMD,US
11381,Resona,TSE,8308,JP
11391,Resona Holdings,TSE,8308,JP
11401,Restaurant Brands International,TSX,QSR,CA
11411,Revvity,NYSE,RVTY,US
11421,Rexam,LSE,REX,GB
11431,Rheinmetall,FWB,RHM,DE
11441,Ricoh,TSE,7752,JP
11451,Rio Tinto,LSE,RIO,GB
11461,Robinhood Markets,NASDAQ,HOOD,US
11471,Roblox,NYSE,RBLX,US
11481,Roche Holding,SIX,ROG,CH
11491,Rockwell Automation,NYSE,ROK,US
11501,Rollins,NYSE,ROL,US
11511,Rolls-Royce Holdings,LSE,RR,GB
11521,Roper Technologies,NYSE,ROP,US
11531,Ross Stores,NASDAQ,ROST,US
11541,Royal Bank of Canada,TSX,RY,CA
11551,Royal Bank of Scotland,LSE,RBS,GB
11561,Royal Caribbean,NYSE,RCL,US
11571,Royal Dutch Shell,LSE,SHEL,GB
11581,RPM International,NYSE,RPM,US
11591,RSA Insurance,LSE,RSA,GB
11601,RTX Corporation,NYSE,RTX,US
11611,RWE,FWB,RWE,DE
11621,RWE Stamm,FWB,RWE,DE
11631,Ryanair,ISE,RYA,IE
11641,S-1,KRX,012750,KR
11651,S-Oil,KRX,010950,KR
11661,S&P Global,NYSE,SPGI,US
11671,SABMiller,LSE,SAB,GB
11681,Safran,EURONEXT,SAF,FR
11691,Sage,LSE,SGE,GB
11701,SAIC Motor,SSE,600104,CN
11711,Saint-Gobain,EURONEXT,SGO,FR
11721,Salesforce,NYSE,CRM,US
11731,Sama Aluminium,ADX,SALCO,AE
11741,Sampo,HEL,SAMPO,FI
11751,Samsung Biologics,KRX,207940,KR
11761,Samsung C&T,KRX,028260,KR
11771,Samsung Card,KRX,029780,KR
11781,Samsung E&A,KRX,010950,KR
11791,Samsung Electro-Mechanics,KRX,009150,KR
